id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13197084,Good vibes in Ottakring - for up to 12 guests,7368567,Bettina,,Ottakring,48.2114,16.3261,Entire home/apt,519,2,39,2021-07-25,0.57,5,92,1,
13454877,Fabulous City Center Apartment - Apt 24,1547126,Anna & Vladan,,Innere Stadt,48.21462,16.36343,Entire home/apt,194,1,61,2022-06-01,0.86,38,272,5,
13455169,Sunny cosy flat in perfect location,72807584,David,,Brigittenau,48.22854,16.36917,Entire home/apt,38,3,5,2017-07-10,0.08,1,0,0,
12925300,Toller Altbau-ROOM IN TYPICAL VIENNESE STYLE,38166429,Theresa,,Alsergrund,48.22649,16.35079,Private room,34,2,114,2018-12-09,1.54,3,0,0,
12936043,Stylish double room in Vienna with parking area,9162256,Jasmin,,Rudolfsheim-Fnfhaus,48.20137,16.31752,Private room,49,1,4,2016-12-11,0.05,1,0,0,
13213729,Private room in a peaceful & quiet area of Vienna,59437889,Dario,,Donaustadt,48.25205,16.45628,Private room,40,1,16,2016-08-28,0.22,1,0,0,
12937850,Tabor Penthouse with Terrace,54441651,Vienna Stay Apartments,,Leopoldstadt,48.2181,16.3804,Entire home/apt,224,1,54,2022-05-22,0.77,60,296,21,
12938216,Tabor Superior with Terrace,54441651,Vienna Stay Apartments,,Leopoldstadt,48.2191,16.38223,Entire home/apt,224,1,16,2022-05-16,0.26,60,280,6,
13463796,"Schönes, neu renoviertes Einzelzimmer zu vermieten",76967814,Marlene,,Hernals,48.21915,16.33815,Private room,13,14,0,,,1,0,0,
13229775,Studio Apartment in Center 3.09,14070533,Prestige Apartments Sabrina,,Alsergrund,48.21527,16.34969,Entire home/apt,90,3,2,2021-11-15,0.06,41,0,1,
13465011,Vienna Sky Tower Apartments Hauptbahnhof,46938364,Alexander,,Favoriten,48.18225,16.37996,Entire home/apt,119,3,2,2016-12-11,0.03,5,351,0,
12943834,Charming cityflat at the Belvedere,71104080,Ines,,Wieden,48.18876,16.37482,Private room,55,2,7,2017-06-17,0.09,1,0,0,
13229817,Luxury Designer Loft near City Center (110m²),74270061,Paul,,Alsergrund,48.22571,16.36407,Entire home/apt,100,1,1,2016-07-24,0.01,1,0,0,
12944339,Room @ beautiful shared flat near city center,71107554,Mathias,,Alsergrund,48.22401,16.35004,Private room,34,1,7,2016-08-16,0.09,2,0,0,
12959037,central apartment with small cozy rooftop,65079921,Susi,,Leopoldstadt,48.22284,16.3885,Entire home/apt,42,2,13,2020-02-16,0.18,1,0,0,
13465210,"Cosy, light & clean Appartment in the City Center",42976103,Helene,,Josefstadt,48.21505,16.34513,Private room,60,30,9,2019-07-04,0.13,1,364,0,
13233673,Hübsche Wohnung mitten im coolsten Viertel Wiens,16140129,Kerstin,,Mariahilf,48.19921,16.35723,Entire home/apt,70,3,3,2016-10-10,0.04,1,0,0,
13243370,Lovely room in the best Vienna neighborhood!,74426432,Julia,,Neubau,48.20303,16.34699,Private room,38,2,8,2016-09-30,0.11,1,0,0,
13243492,tolles WG-Zimmer in perfekter Lage,74428038,Fabian,,Whring,48.22643,16.34769,Private room,23,1,37,2019-05-31,0.51,1,0,0,
12962615,2 magical rooms with big living room,71277315,Anna,,Whring,48.22663,16.33231,Entire home/apt,24,1,0,,,1,0,0,
13246965,Stilysh & Cozy ★ | Directly at Opera ♛ | Balcony ☀,71074913,Albian,,Innere Stadt,48.20219,16.3676,Entire home/apt,188,3,23,2020-12-27,0.32,8,340,0,
12964446,"24m2 big, very bright room",71295405,Daniel,,Favoriten,48.17676,16.36805,Private room,30,3,4,2016-08-05,0.06,1,0,0,
12965004,Large & sunny room in lively Neubau,8079942,Philipp,,Neubau,48.20334,16.34591,Private room,34,1,4,2017-01-02,0.05,1,0,0,
13470772,"10m² in a student flat, everything you need :)",17092916,Nicolas,,Margareten,48.18845,16.35991,Private room,26,3,6,2019-08-30,0.08,1,0,0,
13248193,nice city Apartment,32515773,Nane,,Brigittenau,48.23443,16.36257,Entire home/apt,40,2,2,2017-07-24,0.03,1,0,0,
13476594,Zimmer zentral Nähe Hauptbahnhof/Belvedere,77128876,Amely,,Favoriten,48.18212,16.3814,Private room,50,6,2,2016-08-02,0.03,1,0,0,
13248406,"""Family"" apartment",38054509,Christian,,Alsergrund,48.2235,16.35277,Entire home/apt,129,3,261,2022-05-16,3.60,5,203,26,
12966943,"Quiet Self-Check-in flat, 70m², near Train Station",18579257,Linda,,Meidling,48.1717,16.32916,Entire home/apt,75,2,33,2021-08-29,0.63,1,134,1,
